model,backbone,number_parameters,image_resolution,image_min_side,inference_time
RetinaNet,EfficientNetB1,17271213,240x320,240,0.3224894708400006
RetinaNet,EfficientNetB1,17271213,480x640,480,1.0942881057060003
RetinaNet,EfficientNetB1,17271213,800x1066,800,2.975108163920002
